"","Compound.Name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"17","Sulfolactic Acid",0.010554506134539,0.00172823451272408,0.0283485015158456,0.031663518403617,0.00518470353817225,0.0850455045475369,0.0000131591010880703,0.000000992559677990131,0.0000342697333264532
"18","Sulfoacetic Acid",0.00777833310251325,0.00139334980675017,0.0259110955764135,0.0155566662050265,0.00278669961350033,0.0518221911528269,0.00000335200076005883,0.00000169791820504389,0.0000149719969375364
"19","Sucrose",0.198025120586834,0.00183196937182728,0.769887322691699,2.376301447042,0.0219836324619273,9.23864787230039,0.000725361745891926,0.0000223271360398499,0.00497488676997244
"20","Succinic semialdehyde",0.000110766440761097,0.0000249244370677216,0.000476601690043144,0.000443065763044388,0.0000996977482708865,0.00190640676017258,0.000000205785799611869,0.0000000382346315451071,0.00000294066167269203
"21","Succinic Acid",0.0885971835669738,0.0430000921181894,0.138070453827834,0.354388734267895,0.172000368472757,0.552281815311336,0.000180523498457712,0.0000432180363343124,0.000851903172365905
"22","Stachydrine hydrochloride",0.016788163599729,0.00345894335204663,0.0576680036301205,0.117517145198103,0.0242126034643264,0.403676025410844,0.0000590438470314566,0.0000107252084702779,0.000217374073125207
"23","Shikimic Acid",0.00592993241061896,0.00103113208110869,0.204824229268309,0.0415095268743327,0.00721792456776085,1.43376960487816,0.0000248629799616423,0.00000146622943049591,0.00126101400485754
"24","Serine",0.174854922882514,0.0558321682091855,0.50633666872324,0.524564768647541,0.167496504627556,1.51901000616972,0.00027029754613131,0.0000673886776430954,0.000888180608833183
"25","Sarcosine",0.0677704115579447,0.00532768745863847,0.375896664034435,0.203311234673834,0.0159830623759154,1.1276899921033,0.0000957080662077207,0.0000149171597277892,0.000415916505127359
"26","Salicylic Acid",0.00147672178288658,0.000410634804677106,0.009956145062899,0.010337052480206,0.00287444363273974,0.069693015440293,0.00000514440984184285,0.00000105674685084965,0.0000602399009272434
"27","Ribose 5 phosphate",0.00596177973623074,0.00454840775057395,0.0146628344788971,0.0298088986811537,0.0227420387528697,0.0733141723944855,0.0000145689038081391,0.00000582367511201444,0.0000293110494280018
"28","Resorcylic Acid",0.000129643750641663,0.0000949374968460981,0.000278181577258975,0.00090750625449164,0.000664562477922687,0.00194727104081283,0.000000434790921860089,0.000000104240082858736,0.00000139027185812799
"29","Propionyl-L-carnitine",0.000873591308069007,0.00021104540304313,0.00282158048359403,0.00873591308069007,0.0021104540304313,0.0282158048359403,0.00000529872842064695,0.00000104612018161105,0.0000118116891873383
"30","Propanesulfonate",0.000119745397816265,0.0000390872254242352,0.000352690066626382,0.000359236193448796,0.000117261676272706,0.00105807019987914,0.000000171075256868528,0.0000000410040778110757,0.00000149240263508298
"31","Proline",0.133841052548899,0.0315300786083412,0.565922359219799,0.669205262744494,0.157650393041706,2.829611796099,0.000339380776957261,0.00010609022212078,0.0011942772836921
"32","PQS",0.00100809746719886,0.0000552062198392495,0.0116715561540048,0.0161295594751817,0.000883299517427992,0.186744898464076,0.0000085793891403298,0.000000420479759853469,0.0000912703448552412
"33","PEP",0.011480728043877,0.00666281278584526,0.021978793241311,0.034442184131631,0.0199884383575358,0.0659363797239329,0.0000148363736802826,0.00000800766294158526,0.0000930029282169267
"34","Oxalic Acid",0.116861781598066,0.019253506647286,0.737836409508293,0.233723563196132,0.038507013294572,1.47567281901659,0.000123308707021808,0.00000531884406419343,0.00227624796080908
"35","Orotic Acid",0.000186869032212965,0.00000929009412851477,0.00344088544609571,0.000934345161064825,0.0000464504706425739,0.0172044272304786,0.000000465468186061459,0.000000025814744700343,0.00000907591097866682
"36","Ornithine",0.024920283713971,0.00521892405392857,0.125095937864247,0.124601418569855,0.0260946202696429,0.625479689321237,0.0000615555882459887,0.0000176645334336475,0.00032114006914096
"37","Ophthalmic Acid",0.00073088876658914,0.000051895391517828,0.00469979950050195,0.00803977643248054,0.000570849306696108,0.0516977945055214,0.00000327835562496734,0.000000230606945764833,0.0000304952684672382
"38","N(e)-Acetyl-Lysine",0.0384105044226844,0.0075205960516311,3.66262225495558,0.307284035381475,0.0601647684130488,29.3009780396447,0.000254089214408809,0.0000472761743894475,0.0124498116420851
"39","N-methyltaurine",0.0152356659633047,0.00478362424209925,3.58993556334713,0.0457069978899142,0.0143508727262978,10.7698066900414,0.0000269833575397347,0.00000520689718609759,0.00452731577555068
